syllable,idf
gzhir,2033
zan,2031
lkog,2029
kan,2028
son,2026
drod,2005
non,2001
gtad,1999
bslang,1991
k'i,1990
btsugs,1987
zhum,1972
sho,1959
bsreg,1949
bsrungs,1947
ril,1937
dpral,1935
'dud,1933
rnon,1932
bcud,1925
ksha,1924
klu'i,1922
spel,1921
phran,1919
thab,1919
ljon,1918
gan,1913
aam,1906
lhas,1900
sha'i,1893
phongs,1893
phrin,1890
'god,1890
khye'u,1889
rengs,1887
chas,1886
snum,1881
tig,1872
gzhom,1871
gdod,1867
bsres,1865
gsad,1862
sya,1861
'dzam,1855
tshugs,1851
'chal,1846
blos,1846
'grogs,1845
ze'i,1841
rgya'o,1836
gung,1832
thad,1822
bkru,1817
mchu,1806
sbas,1795
gra,1793
bzhes,1791
gdungs,1790
zhib,1789
yug,1787
n'am,1782
mdangs,1777
zing,1777
'thungs,1772
mkhris,1770
thur,1764
ling,1764
rno,1759
po'am,1758
bskrad,1758
bshang,1736
'dzum,1733
bzhad,1724
sos,1717
srang,1717
khur,1711
brgal,1710
zangs,1710
zang,1710
rjer,1708
dal,1705
dbyig,1702
gtugs,1701
b'i,1701
bkrus,1700
mgul,1699
blta'o,1697
'gyed,1685
su'o,1685
rdza,1682
sil,1680
mo'o,1676
rlom,1676
chag,1673
sen,1670
dbyar,1670
dgrol,1662
bgo,1660
'bul,1658
cis,1653
mngar,1643
lnga'o,1643
bh'u,1639
gyon,1624
'phangs,1623
gcan,1622
nyen,1621
smig,1621
mdo'i,1619
pad,1619
kam,1617
bzangs,1616
gnag,1615
rgyang,1613
gshed,1612
tsher,1601
ltas,1598
khyi,1598
mthon,1595
gzir,1593
rtsibs,1587
'gror,1580
rdzing,1577
cha'i,1577
khyu,1576
ga'o,1575
khru,1572
rgal,1571
tshe'i,1570
sv'ah'a,1569
kra,1565
rungs,1564
mkhar,1563
g'a,1558
rtsal,1553
'phen,1553
ta'i,1548
chom,1547
bo'o,1547
bhu,1541
'dra'i,1540
smra'o,1540
ning,1538
wang,1537
rlob,1537
bkres,1532
lhar,1531
hu,1530
rje'o,1529
yong,1528
glog,1528
pam,1519
rva,1514
glegs,1512
'gugs,1507
brnyas,1503
mdud,1498
rtsig,1497
phud,1496
ratna,1493
dh'u,1482
rib,1480
rtsis,1477
bsgos,1474
byos,1472
'phros,1471
pri,1457
yengs,1457
koo,1454
spras,1453
khrid,1451
zhon,1448
grib,1446
p'u,1440
brgyal,1439
bshams,1436
sde'i,1429
sh'i,1428
phas,1425
goo,1415
gtsigs,1412
nying,1412
brgyar,1412
khor,1410
bslabs,1409
gci,1408
gug,1407
'thor,1405
'dong,1403
'phral,1402
'brangs,1401
ro'i,1401
bton,1397
sring,1396
shal,1395
bzhengs,1393
bsnun,1393
'phye,1388
sgo'i,1382
rnyog,1381
phog,1379
d'i,1377
yar,1376
lar,1375
tshva,1373
gcer,1370
shya,1370
'phyang,1370
dgang,1370
lor,1368
bsgral,1368
yud,1367
bskus,1362
ma'am,1359
gangg'a'i,1358
drin,1358
mnar,1356
nom,1354
pur,1350
tv'am,1349
ljongs,1346
mri,1343
hri,1340
mdung,1339
dma',1337
gza',1336
ao,1333
gzar,1331
dgu'i,1327
blo'i,1325
'grib,1324
gson,1324
sdod,1318
w'a,1308
bsngos,1308
bzla,1307
rog,1302
bra,1299
chur,1298
re'i,1294
rta'i,1294
lug,1293
tsho,1283
autpa,1283
bro,1279
ngar,1277
tya,1275
a'atma,1274
rgyar,1272
ded,1272
mir,1268
skor,1266
sdigs,1264
za'i,1263
gsan,1262
tva,1260
dregs,1257
sbal,1256
bsu,1253
tse,1253
sran,1253
dhu,1246
phor,1246
bskol,1245
phu,1244
rings,1243
brdungs,1240
rgyu'o,1234
khongs,1232
bzhon,1230
ton,1226
s'u,1226
khengs,1220
phyugs,1219
padmo,1217
buddha,1213
tu'o,1213
rnying,1207
mi'am,1206
bskyab,1205
kh'a,1198
dri'i,1198
rgyags,1195
gzhig,1195
dpar,1190
blun,1181
brgya'i,1176
bcang,1172
bsgreng,1171
bkram,1167
grag,1162
le'i,1160
shul,1157
mer,1156
'chags,1155
btsas,1154
ca,1152
tishtha,1149
mtshor,1149
bshig,1145
srungs,1141
dmag,1140
gsher,1139
gum,1139
'gul,1137
zungs,1137
satva,1134
lta'i,1132
gcin,1132
dgar,1129
sh'akya'i,1128
'di'o,1128
tshegs,1126
'dar,1120
bandha,1115
gad,1114
bsku,1112
autpala,1107
tshil,1104
t'am,1102
rgas,1102
sma,1099
stang,1099
ran,1098
gla,1098
khyud,1097
chab,1096
spu'i,1096
'greng,1096
bshos,1093
rtul,1091
'chos,1090
chan,1089
sku'o,1086
gol,1085
a'i,1084
l'i,1083
sbar,1082
po'ang,1081
smros,1081
kha'i,1079
btul,1078
lhur,1078
radva,1077
che'o,1077
ngur,1076
bzo,1074
dbyi,1073
spyin,1073
skyur,1072
shun,1072
sh'u,1067
gyi'o,1064
zhar,1064
yung,1064
mgyogs,1064
zhan,1063
gsos,1062
lde,1062
padmar,1061
rked,1060
cog,1059
sgrar,1058
sri,1055
bsti,1054
gting,1053
thu,1046
sba,1045
pandi,1041
bsnyad,1040
brlag,1037
dharma,1031
dkrugs,1029
'brum,1026
ngoms,1021
'khru,1020
dpes,1019
zhe'o,1017
thong,1017
bhya,1015
phod,1014
glags,1012
gsog,1009
sbubs,1009
ska,1009
gegs,1008
dub,1006
sang,1003
som,1001
stug,1001
gon,1000
'jal,1000
dga'i,994
dpog,993
pe,991
dzva,988
bung,982
byings,982
dpa'o,980
bder,978
de'o,975
ltag,975
mgron,972
gi'o,970
'dre,970
brdung,968
dya,966
le'ur,966
'bri,964
s'i,962
'dris,961
bsdu'o,960
mchil,958
skul,958
smre,956
bkrol,954
bskum,951
'bod,949
'tsham,949
tshabs,943
brla,943
nu'i,941
khebs,941
gud,940
bying,939
'khrig,938
mgur,938
bsangs,937
rmugs,933
byol,933
bslangs,932
btus,931
gu'i,930
stabs,929
gces,928
dral,927
khe,924
gsor,923
ger,922
gtod,920
'chag,920
da'i,919
sten,919
sarbba,916
lham,916
bting,913
r'u,913
blud,912
rdzi,910
bang,909
bcus,905
dkrol,905
spyang,905
kas,905
rer,903
spun,903
khrel,902
tsu,900
thor,900
bkab,899
mah'a,897
nod,894
chug,890
mthe'u,887
thigs,884
shri,883
mthing,883
pa'i'o,882
karma,881
by'a,879
ros,879
stvam,879
srad,877
rul,877
tshos,874
kro,874
mkho,874
rdal,870
'tshong,870
tv'a,869
bre,868
rku,867
bsang,866
rgyug,864
bdog,863
aindra,860
brdeg,858
mis,857
sol,854
'bru'i,854
ges,852
'phar,851
gdangs,848
ngor,847
raksha,846
grva,846
btsos,844
tham,842
gzod,840
bteg,839
lhor,839
gom,838
'drar,837
a'arya,837
bskos,837
gnam,834
dharm'a,833
rtsir,833
thi,833
gzer,832
gdol,830
skyug,829
bdar,827
mchi'o,827
dpe'i,827
phar,825
mchan,825
yol,825
mandala,824
d'urya,823
shug,822
rtsed,821
btub,821
bslus,819
autpal,818
zar,818
khra,818
tstsha,817
ske,816
bklag,815
shuddha,814
gdengs,813
g'a'i,812
smyung,812
ka'o,811
zheng,808
h'i,807
lho'i,807
bcangs,806
'brug,806
ldeng,804
mjed,801
gtsor,801
ngu'i,800
blag,800
su'ang,797
gangs,796
bklags,795
grog,795
'gros,795
ban,794
rnag,794
nee,792
siddhi,792
nya'i,789
chun,786
btso,784
'gengs,783
dva,783
phrogs,782
dzambu'i,781
dgur,780
bug,779
khungs,778
su'i,776
dpyid,775
sprad,775
srab,775
mnyen,774
zhog,772
tr'a,771
bltar,771
btsir,770
zhun,767
bzhud,766
kyus,765
brdar,765
klad,764
gzengs,763
ci'ang,763
khyams,763
gdu,762
mchogces,761
yor,760
tadya,760
dangs,760
'dzud,760
'cha',759
lud,758
rtsa'i,758
tram,757
pr'a,756
m'am,756
kshi,753
sngom,752
gnad,750
brlan,749
bskams,749
rdzun,749
sog,748
sprod,748
tshu,747
thul,744
gri'i,743
ther,741
'phrogs,739
sengge'i,736
bsdigs,736
gab,736
mur,735
dzam,735
'phrin,734
je,729
skyu,728
m'u,728
gdub,724
skem,724
'tsho'i,722
dbyi'o,717
stangs,716
mnos,714
'bigs,714
dze,714
dmangs,713
ljags,712
gram,712
be'u,712
a'u,711
bri'o,709
tsitta,708
manta,706
'gying,706
gding,705
'ug,704
'dom,704
rgud,703
bcu'o,703
g'i,702
dh'i,701
nged,700
thags,698
leb,698
gzan,698
'tshed,695
dka'o,695
smyon,693
gul,692
sbu,691
co,689
brtsal,689
sbed,689
yem,688
aoo,688
sbra,688
'byams,685
spa,683
gor,683
tsanda,679
'khrungs,678
shigs,677
brgyas,676
phub,676
bslad,676
bcag,674
stor,673
rton,672
glen,672
shed,672
mad,670
mdze,668
'gas,666
ma'ang,665
dbyen,665
sa'o,665
'di'ang,664
shi'i,664
'jim,663
skus,663
li'i,659
bstabs,656
'thon,655
shad,652
cu'i,652
dron,649
ya'i,649
'gran,648
tsan,648
khom,647
dhe,647
khron,646
shra,644
bsnan,643
soo,643
gnyug,641
klas,638
mon,636
rlon,635
bskyang,635
bregs,635
snyems,634
tu'ang,633
rdol,632
brkos,631
m'i,630
brtsigs,630
padmo'i,630
bhe,626
mtshang,626
lpags,625
bcol,625
'phya,625
lo'o,625
dha'i,620
khva,620
ha'i,617
bsdad,616
gzo,616
skya'i,615
'gyel,614
gsus,613
mid,613
smyo,612
'bros,612
bho,611
kor,611
pha'i,610
'ju,610
kyu'i,608
lkugs,605
bsdam,603
panytsa,602
'phrod,602
'khar,602
tang,598
btson,598
kshe,594
ru'i,593
spongs,592
chogs,589
'chab,588
yaksha,588
mtha'o,588
gsham,585
spre'u,584
dz'i,584
dgas,584
phebs,583
bskang,583
khi,580
sim,580
'khri,579
lcug,579
bstim,579
bsrel,579
bhr'um,578
'phyar,578
'tshol,578
'grol,578
gandha,577
rngub,576
gtun,576
snyom,575
dgun,574
aan,574
sy'a,573
hya,573
zong,572
nim,571
brda'i,570
rkan,570
stir,569
skyegs,569
lta'o,567
zhas,567
rngu,566
ni'i,566
ty'a,566
ler,566
'brog,565
smyos,564
dgra'i,564
rgun,563
ta'o,561
skrod,561
brel,560
snyigs,560
