stem,idf
rtsed,822
stim,820
autpal,818
skan,818
smyung,817
tstsha,817
shuddha,814
smyan,807
h'i,807
ldeng,806
mra,804
jed,804
geng,801
ci',799
dzeg,798
kya,796
je,794
nee,792
ju,792
siddhi,792
tshu,790
chun,790
dru,788
breg,787
zhun,787
klad,786
dva,783
dzambu'i,781
zeng,776
pyid,775
di',774
tr'a,771
zhud,770
shra,769
sgang,768
tram,768
dzud,762
mchogces,761
tadya,760
lud,758
pr'a,756
snan,756
sbu,755
gyu,754
kshi,753
srub,749
ther,748
rar,744
rtser,742
gying,737
mur,737
sengge'i,736
tshed,736
skyu,733
khyag,731
phub,730
big,729
kal,722
ljag,714
be'u,712
a'u,711
tsitta,708
manta,706
kum,706
'ug,706
rngub,704
rgud,703
dh'i,701
nged,700
leb,698
sgrim,697
stsag,696
tu',696
yem,692
sbed,689
aoo,688
khya,687
rngu,680
spha,680
deg,679
tsanda,679
khral,678
spya,677
byen,676
glen,672
jim,666
rngam,663
lkug,662
spyar,656
khran,652
srel,647
soo,643
snar,643
bem,640
skrang,637
gun,634
padmo'i,630
lpag,625
sa',622
thib,621
khva,620
a',618
spag,616
byu,615
gyel,614
mid,613
tun,609
panytsa,602
sab,602
stir,599
pheb,599
rnab,598
kshe,594
glan,593
rkam,591
gyi',591
lda,590
snyig,590
khi,589
yaksha,588
lcug,587
spre'u,584
dz'i,584
sim,584
bhr'um,578
gandha,577
lhad,576
aan,574
rkan,573
rlang,573
sy'a,573
skyeg,573
khug,572
rdze,571
nim,571
spar,570
rkyal,567
ler,566
ty'a,566
rgun,564
grul,560
nya',560
aee,556
kunda,555
rya,555
pya,552
zhi',549
grihna,549
rgu,548
dring,548
klan,548
pyang,548
sbang,548
snyeg,546
shan,545
sbrel,544
te'u,544
skyar,541
gh'a,541
snag,541
tsakra,540
sug,539
karsha,538
bil,538
smrig,536
skyid,534
p'i,529
aa'i,528
wam,527
sgying,524
sme,522
khag,522
shru,522
phrug,519
rngan,517
y'am,514
dvi,512
rtal,511
tshem,509
hye,508
snyim,506
nyed,505
rgya',499
dzu,499
sengge,498
keng,497
tsud,496
nri,496
snyun,495
chig,494
bya',494
brim,488
lim,488
ltam,486
manda,483
ya',482
zim,481
tr'am,481
tsandra,479
dhva,474
dzem,474
skrun,473
zud,472
nab,469
tsum,468
snab,465
spung,464
sth'a,463
skyer,462
rdu,461
cab,459
khanda,458
sdag,456
lhang,454
dzya,451
yoo,450
phru,449
seg,448
snyung,448
sgul,447
sdeb,447
spring,447
sgre,447
hud,446
h'u,446
cigde,445
pre,445
dzer,445
pradzny'a,443
sgag,443
sda,440
seb,439
har,437
snye,437
rje'u,437
lnga',437
them,435
kyal,435
pa'ode,432
zhe',430
ait,426
stu,426
mandal,425
lteng,425
rting,423
rgyam,422
sder,421
sthi,421
dzha,421
yer,420
kren,419
shigde,414
nyag,414
padma'o,414
nem,411
skyal,410
tsad,410
shinytsa,408
bh'i,408
hum,408
skran,407
sleb,403
khri'u,400
aata,399
dagces,397
lcang,396
kshu,393
dharmma,393
klang,392
shur,391
lha',389
sdum,388
satv'a,388
khreg,388
rid,388
dzug,388
khum,387
sgril,386
rtug,386
sha',385
ngad,385
d'urya'i,384
zam,381
pushpa,380
stam,379
sode,379
re'u,379
lya,376
bhy'a,372
tvam,372
'ar,372
chid,370
aita,369
rakta,368
ne'u,368
nir,368
badzr'a,367
shib,365
tshing,365
tye,365
gatstsha,364
darsha,363
spri,361
sh'am,361
padmas,361
red,359
sgyid,359
drir,359
ze'u,358
tur,358
men,356
han,355
aatsa,352
blar,352
kyi',351
sbran,350
rti,350
kr'i,349
smyug,349
rdag,349
siddha,348
klub,347
dznya,346
srul,346
hram,346
tshe',345
dy'a,344
buddh'a,344
bya'ode,343
dh'a'i,341
stha,341
yir,340
kim,340
mee,339
manydzu,338
rtsar,337
khy'a,336
pukka,336
ja',335
khyar,334
snyil,334
srun,333
tshi,332
go'u,332
lum,330
sul,330
khril,330
dve,329
rum,329
nal,329
rba,328
sle,328
phram,327
tsa',326
rtsen,325
sye,325
garbha,324
byid,324
tr'i,324
aar,323
badzri,322
ba'i'o,321
wi,320
ain,320
rode,318
ldum,318
roo,317
ldem,317
kalpa,316
dzang,316
zu,314
'ab,314
snyi,313
sbrum,312
rmed,311
yee,311
gyir,311
khyan,309
tree,308
node,308
snyeng,307
shtsa,307
ltad,307
kyir,307
rtsva'i,307
sbyad,306
snyal,306
t'i'i,305
krishna,305
khrang,304
sapta,301
rmig,301
randa,300
yatstsha,298
bid,298
brahma,297
se'u,295
drub,293
gi',293
l'am,293
tta,293
dagde,293
le'u'i,292
tsub,291
danda,291
mantra,288
krita,287
hrim,287
l'u,287
zeg,285
khyal,285
yel,285
zhil,284
tve,283
glad,281
shy'a,281
too,281
khre,280
y'u,280
punda,280
dzambu,279
sing,279
rtsab,279
kee,277
dhy'a,277
mud,275
sgur,275
skyel,275
tsoo,274
ranydza,274
noo,273
smri,273
gandhe,273
cigces,273
kanda,272
gel,272
aang,272
aanta,272
